Source.Name,Site,Parameter,Date (LST),Year,Month,Day,Hour,Date Key,Value,Unit,AQI,Duration,USAF,WBAN,Date Key.1,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW_1,MW_2,MW_3,AW,AW_4,AW_5,AW_6,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
Ulaanbaatar_ HourlyPM25_201510.CSV,Ulaanbaatar,2/5/2018 12:00,10/1/2015 0:00,2015,1,1,0,2.02E+11,0.176,mg/m³,50,1 Hr,442920,99999,2.02E+11,,,,250,,,,,12.5,4,,,,,,,,2,35,23,1022.4,30,,,30,,,,,
Ulaanbaatar_ HourlyPM25_201510.CSV,Ulaanbaatar,2/5/2018 12:00,10/1/2015 1:00,2015,1,1,1,2.02E+11,0.071,mg/m³,60,1 Hr,442920,99999,2.02E+11,,0,,250,,,,,6.2,,,,,,,,,,36,27,,30,,,,,,,,
Ulaanbaatar_ HourlyPM25_201510.CSV,Ulaanbaatar,2/5/2018 12:00,10/1/2015 2:00,2015,1,1,2,2.02E+11,0.077,mg/m³,70,1 Hr,442920,99999,2.02E+11,,0,,,,,,,6.2,,,,,,,,,,43,27,,30,,,,,,,,
Ulaanbaatar_ HourlyPM25_201510.CSV,Ulaanbaatar,2/5/2018 12:00,10/1/2015 3:00,2015,1,1,3,2.02E+11,0.058,mg/m³,80,1 Hr,442920,99999,2.02E+11,210,4,,,BKN,,,,31.2,,,,,,,,,,47,29,1017,,867.8,,,,,,,
Ulaanbaatar_ HourlyPM25_201510.CSV,Ulaanbaatar,2/5/2018 12:00,10/1/2015 4:00,2015,1,1,4,2.02E+11,0.056,mg/m³,90,1 Hr,442920,99999,2.02E+11,990,11,,,,,,,6.2,,,,,,,,,,52,30,,29.91,,,,,,,,
Ulaanbaatar_ HourlyPM25_201510.CSV,Ulaanbaatar,2/5/2018 12:00,10/1/2015 5:00,2015,1,1,5,2.02E+11,0.036,mg/m³,100,1 Hr,442920,99999,2.02E+11,270,16,,,,,,,6.2,,,,,,,,,,55,30,,29.88,,,,,,,,
Ulaanbaatar_ HourlyPM25_201510.CSV,Ulaanbaatar,2/5/2018 12:00,10/1/2015 6:00,2015,1,1,6,2.02E+11,0.03,mg/m³,110,1 Hr,442920,99999,2.02E+11,250,18,,,,,,,6.2,,,,,,,,,,57,30,1010,29.85,,,,,,,,
Ulaanbaatar_ HourlyPM25_201510.CSV,Ulaanbaatar,2/5/2018 12:00,10/1/2015 7:00,2015,1,1,7,2.02E+11,0.044,mg/m³,120,1 Hr,442920,99999,2.02E+11,990,22,,,,,,,6.2,,,,,,,,,,57,28,,29.83,,,,,,,,
Ulaanbaatar_ HourlyPM25_201510.CSV,Ulaanbaatar,2/5/2018 12:00,10/1/2015 8:00,2015,1,1,8,2.02E+11,0.103,mg/m³,130,1 Hr,442920,99999,2.02E+11,300,22,,,,,,,6.2,,,,,,,,,,61,30,,29.83,,,,,,,,
Ulaanbaatar_ HourlyPM25_201510.CSV,Ulaanbaatar,2/5/2018 12:00,10/1/2015 9:00,2015,1,1,9,2.02E+11,0.176,mg/m³,140,1 Hr,442920,99999,2.02E+11,270,16,,,,,,,6.2,2,,,,,,,,3,59,28,1008.2,29.83,,,,,,,,
Ulaanbaatar_ HourlyPM25_201510.CSV,Ulaanbaatar,2/5/2018 12:00,10/1/2015 10:00,2015,1,1,10,2.02E+11,0.176,mg/m³,50,1 Hr,442920,99999,2.02E+11,290,16,,,,,,,6.2,,,,,,,,,,57,32,,29.8,,,,,,,,
